bundleID,bundleStatus,title,details,quantity,rrp,discountedPrice,sellerID,purchaserID,expiryDate,pickupWindow
29,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",2,12,4,29,NULL,2025-01-16,18:00-19:00
30,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,12,4,30,NULL,2025-01-16,18:00-19:00
31,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,3,16,4,1,NULL,2025-02-16,15:00-16:00
32,offsale,Wrap Bundle,Collect three freshly made wraps made for you by Comida.,0,36,9,2,NULL,2025-02-16,15:00-16:00
33,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,2,16,4,3,NULL,2025-02-16,15:00-16:00
34,offsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,0,16,4,4,NULL,2025-02-16,15:00-16:00
35,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,3,16,4,5,NULL,2025-02-16,15:00-16:00
36,offsale,Dish of the Day Bundle,Collect a serving of the Dish of the Day for only £1,0,2.35,1,6,NULL,2025-02-16,15:00-16:00
37,onsale,Cooked Breakfast Bundle,"Collect various breakfast foods including sausages, hash browns, and bacon.",2,15,5,7,NULL,2025-02-16,18:00-19:00
38,offsale,Brownie Bundle,Collect 4 delicious chocolate brownie slices.,0,16,8,8,NULL,2025-02-16,18:00-19:00
39,onsale,Pasties & Pies,A delicious assortment of freshly-baked pasties and pies.,3,16,8,9,NULL,2025-02-16,18:00-19:00
40,offsale,Sandwiches & Baguettes,A delicious assortment of freshly-made sandwiches and baguettes,0,13,6.5,10,NULL,2025-02-16,18:00-19:00
41,onsale,Meal Deal Bundle,Collect a freshly-made sandwich along with a snack and a soft drink.,2,5,2.5,11,NULL,2025-03-16,15:00-16:00
42,offsale,Hot Food Bundle,Collect a delicious assortment of hot food including pizzas and burgers,0,30,10,12,NULL,2025-03-16,15:00-16:00
43,onsale,Hot Food Bundle,Collect a delicious assortment of hot food including pizzas and burgers,3,30,10,13,NULL,2025-03-16,15:00-16:00
44,offsale,Sandwiches & Baguettes,A delicious assortment of freshly-made sandwiches and baguettes,0,12,6,14,NULL,2025-03-16,15:00-16:00
45,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,2,16,4,15,NULL,2025-03-16,15:00-16:00
46,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,15,7.5,16,NULL,2025-03-16,14:00-15:00
47,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",3,15,7.5,17,NULL,2025-03-16,15:00-16:00
48,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,15,7.5,18,NULL,2025-03-16,15:00-16:00
49,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",2,15,7.5,19,NULL,2025-03-16,15:00-16:00
50,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,15,7.5,20,NULL,2025-03-16,15:00-16:00
51,onsale,Breakfast Bundle,A delicious selection of croissants and pan au chocolats.,3,12,6,21,NULL,2025-04-16,15:00-16:00
52,offsale,Sushi Bundle,A delicious selection of freshly-made sushi.,0,18,9,22,NULL,2025-04-16,15:00-16:00
53,onsale,Lunch Bundle,"Collect a freshly-made sandwich, a panini, and a baguette.",2,9,3,23,NULL,2025-04-16,15:00-16:00
54,offsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,0,12,4,24,NULL,2025-04-16,15:00-16:00
55,onsale,Breakfast Bundle,A delicious selection of croissants and pan au chocolats.,3,12,6,25,NULL,2025-04-16,15:00-16:00
56,offsale,Breakfast Bundle,A delicious selection of croissants and pan au chocolats.,0,12,6,26,NULL,2025-04-16,18:00-19:00
57,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",2,16,4,27,NULL,2025-04-16,18:00-19:00
58,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,18,6,28,NULL,2025-04-16,18:00-19:00
59,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",3,12,4,29,NULL,2025-04-16,18:00-19:00
60,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,12,4,30,NULL,2025-04-16,18:00-19:00
61,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,2,16,4,1,NULL,2025-05-16,15:00-16:00
62,offsale,Wrap Bundle,Collect three freshly made wraps made for you by Comida.,0,36,9,2,NULL,2025-05-16,15:00-16:00
63,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,3,16,4,3,NULL,2025-05-16,15:00-16:00
64,offsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,0,16,4,4,NULL,2025-05-16,15:00-16:00
65,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,2,16,4,5,NULL,2025-05-16,15:00-16:00
66,offsale,Dish of the Day Bundle,Collect a serving of the Dish of the Day for only £1,0,2.35,1,6,NULL,2025-05-16,15:00-16:00
67,onsale,Cooked Breakfast Bundle,"Collect various breakfast foods including sausages, hash browns, and bacon.",3,15,5,7,NULL,2025-05-16,18:00-19:00
68,offsale,Brownie Bundle,Collect 4 delicious chocolate brownie slices.,0,16,8,8,NULL,2025-05-16,18:00-19:00
69,onsale,Pasties & Pies,A delicious assortment of freshly-baked pasties and pies.,2,16,8,9,NULL,2025-05-16,18:00-19:00
70,offsale,Sandwiches & Baguettes,A delicious assortment of freshly-made sandwiches and baguettes,0,13,6.5,10,NULL,2025-05-16,18:00-19:00
71,onsale,Meal Deal Bundle,Collect a freshly-made sandwich along with a snack and a soft drink.,3,5,2.5,11,NULL,2025-06-16,15:00-16:00
72,offsale,Hot Food Bundle,Collect a delicious assortment of hot food including pizzas and burgers,0,30,10,12,NULL,2025-06-16,15:00-16:00
73,onsale,Hot Food Bundle,Collect a delicious assortment of hot food including pizzas and burgers,2,30,10,13,NULL,2025-06-16,15:00-16:00
74,offsale,Sandwiches & Baguettes,A delicious assortment of freshly-made sandwiches and baguettes,0,12,6,14,NULL,2025-06-16,15:00-16:00
75,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,3,16,4,15,NULL,2025-06-16,15:00-16:00
76,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,15,7.5,16,NULL,2025-06-16,14:00-15:00
77,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",2,15,7.5,17,NULL,2025-06-16,15:00-16:00
78,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,15,7.5,18,NULL,2025-06-16,15:00-16:00
79,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",3,15,7.5,19,NULL,2025-06-16,15:00-16:00
80,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,15,7.5,20,NULL,2025-06-16,15:00-16:00
81,onsale,Breakfast Bundle,A delicious selection of croissants and pan au chocolats.,2,12,6,21,NULL,2025-07-16,15:00-16:00
82,offsale,Sushi Bundle,A delicious selection of freshly-made sushi.,0,18,9,22,NULL,2025-07-16,15:00-16:00
83,onsale,Lunch Bundle,"Collect a freshly-made sandwich, a panini, and a baguette.",3,9,3,23,NULL,2025-07-16,15:00-16:00
84,offsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,0,12,4,24,NULL,2025-07-16,15:00-16:00
85,onsale,Breakfast Bundle,A delicious selection of croissants and pan au chocolats.,2,12,6,25,NULL,2025-07-16,15:00-16:00
86,offsale,Breakfast Bundle,A delicious selection of croissants and pan au chocolats.,0,12,6,26,NULL,2025-07-16,18:00-19:00
87,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",3,16,4,27,NULL,2025-07-16,18:00-19:00
88,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,18,6,28,NULL,2025-07-16,18:00-19:00
89,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",2,12,4,29,NULL,2025-07-16,18:00-19:00
90,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,12,4,30,NULL,2025-07-16,18:00-19:00
91,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,3,16,4,1,NULL,2025-08-16,15:00-16:00
92,offsale,Wrap Bundle,Collect three freshly made wraps made for you by Comida.,0,36,9,2,NULL,2025-08-16,15:00-16:00
93,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,2,16,4,3,NULL,2025-08-16,15:00-16:00
94,offsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,0,16,4,4,NULL,2025-08-16,15:00-16:00
95,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,3,16,4,5,NULL,2025-08-16,15:00-16:00
96,offsale,Dish of the Day Bundle,Collect a serving of the Dish of the Day for only £1,0,2.35,1,6,NULL,2025-08-16,15:00-16:00
97,onsale,Cooked Breakfast Bundle,"Collect various breakfast foods including sausages, hash browns, and bacon.",2,15,5,7,NULL,2025-08-16,18:00-19:00
98,offsale,Brownie Bundle,Collect 4 delicious chocolate brownie slices.,0,16,8,8,NULL,2025-08-16,18:00-19:00
99,onsale,Pasties & Pies,A delicious assortment of freshly-baked pasties and pies.,3,16,8,9,NULL,2025-08-16,18:00-19:00
100,offsale,Sandwiches & Baguettes,A delicious assortment of freshly-made sandwiches and baguettes,0,13,6.5,10,NULL,2025-08-16,18:00-19:00
101,onsale,Meal Deal Bundle,Collect a freshly-made sandwich along with a snack and a soft drink.,2,5,2.5,11,NULL,2025-09-16,15:00-16:00
102,offsale,Hot Food Bundle,Collect a delicious assortment of hot food including pizzas and burgers,0,30,10,12,NULL,2025-09-16,15:00-16:00
103,onsale,Hot Food Bundle,Collect a delicious assortment of hot food including pizzas and burgers,3,30,10,13,NULL,2025-09-16,15:00-16:00
104,offsale,Sandwiches & Baguettes,A delicious assortment of freshly-made sandwiches and baguettes,0,12,6,14,NULL,2025-09-16,15:00-16:00
105,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,2,16,4,15,NULL,2025-09-16,15:00-16:00
106,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,15,7.5,16,NULL,2025-09-16,14:00-15:00
107,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",3,15,7.5,17,NULL,2025-09-16,15:00-16:00
108,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,15,7.5,18,NULL,2025-09-16,15:00-16:00
109,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",2,15,7.5,19,NULL,2025-09-16,15:00-16:00
110,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,15,7.5,20,NULL,2025-09-16,15:00-16:00
111,onsale,Breakfast Bundle,A delicious selection of croissants and pan au chocolats.,3,12,6,21,NULL,2025-09-16,15:00-16:00
112,offsale,Sushi Bundle,A delicious selection of freshly-made sushi.,0,18,9,22,NULL,2025-09-16,15:00-16:00
113,onsale,Lunch Bundle,"Collect a freshly-made sandwich, a panini, and a baguette.",2,9,3,23,NULL,2025-09-16,15:00-16:00
114,offsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,0,12,4,24,NULL,2025-09-16,15:00-16:00
115,onsale,Breakfast Bundle,A delicious selection of croissants and pan au chocolats.,3,12,6,25,NULL,2025-09-16,15:00-16:00
116,offsale,Breakfast Bundle,A delicious selection of croissants and pan au chocolats.,0,12,6,26,NULL,2025-09-16,18:00-19:00
117,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",2,16,4,27,NULL,2025-09-16,18:00-19:00
118,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,18,6,28,NULL,2025-09-16,18:00-19:00
119,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",3,12,4,29,NULL,2025-09-16,18:00-19:00
120,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,12,4,30,NULL,2025-09-16,18:00-19:00
121,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,2,16,4,1,NULL,2025-09-16,15:00-16:00
122,offsale,Wrap Bundle,Collect three freshly made wraps made for you by Comida.,0,36,9,2,NULL,2025-09-16,15:00-16:00
123,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,3,16,4,3,NULL,2025-09-16,15:00-16:00
124,offsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,0,16,4,4,NULL,2025-09-16,15:00-16:00
125,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,2,16,4,5,NULL,2025-09-16,15:00-16:00
126,offsale,Dish of the Day Bundle,Collect a serving of the Dish of the Day for only £1,0,2.35,1,6,NULL,2025-09-16,15:00-16:00
127,onsale,Cooked Breakfast Bundle,"Collect various breakfast foods including sausages, hash browns, and bacon.",3,15,5,7,NULL,2025-09-16,18:00-19:00
128,offsale,Brownie Bundle,Collect 4 delicious chocolate brownie slices.,0,16,8,8,NULL,2025-09-16,18:00-19:00
129,onsale,Pasties & Pies,A delicious assortment of freshly-baked pasties and pies.,2,16,8,9,NULL,2025-09-16,18:00-19:00
130,offsale,Sandwiches & Baguettes,A delicious assortment of freshly-made sandwiches and baguettes,0,13,6.5,10,NULL,2025-09-16,18:00-19:00
131,onsale,Meal Deal Bundle,Collect a freshly-made sandwich along with a snack and a soft drink.,3,5,2.5,11,NULL,2025-09-16,15:00-16:00
132,offsale,Hot Food Bundle,Collect a delicious assortment of hot food including pizzas and burgers,0,30,10,12,NULL,2025-10-16,15:00-16:00
133,onsale,Hot Food Bundle,Collect a delicious assortment of hot food including pizzas and burgers,2,30,10,13,NULL,2025-10-16,15:00-16:00
134,offsale,Sandwiches & Baguettes,A delicious assortment of freshly-made sandwiches and baguettes,0,12,6,14,NULL,2025-10-16,15:00-16:00
135,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,3,16,4,15,NULL,2025-10-16,15:00-16:00
136,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,15,7.5,16,NULL,2025-10-16,14:00-15:00
137,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",2,15,7.5,17,NULL,2025-10-16,15:00-16:00
138,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,15,7.5,18,NULL,2025-10-16,15:00-16:00
139,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",3,15,7.5,19,NULL,2025-10-16,15:00-16:00
140,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,15,7.5,20,NULL,2025-10-16,15:00-16:00
141,onsale,Breakfast Bundle,A delicious selection of croissants and pan au chocolats.,2,12,6,21,NULL,2025-10-16,15:00-16:00
142,offsale,Sushi Bundle,A delicious selection of freshly-made sushi.,0,18,9,22,NULL,2025-10-16,15:00-16:00
143,onsale,Lunch Bundle,"Collect a freshly-made sandwich, a panini, and a baguette.",3,9,3,23,NULL,2025-10-16,15:00-16:00
144,offsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,0,12,4,24,NULL,2025-10-16,15:00-16:00
145,onsale,Breakfast Bundle,A delicious selection of croissants and pan au chocolats.,2,12,6,25,NULL,2025-10-16,15:00-16:00
146,offsale,Breakfast Bundle,A delicious selection of croissants and pan au chocolats.,0,12,6,26,NULL,2025-10-16,18:00-19:00
147,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",3,16,4,27,NULL,2025-10-16,18:00-19:00
148,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,18,6,28,NULL,2025-10-16,18:00-19:00
149,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",2,12,4,29,NULL,2025-10-16,18:00-19:00
150,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,12,4,30,NULL,2025-10-16,18:00-19:00
151,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,3,16,4,1,NULL,2025-10-16,15:00-16:00
152,offsale,Wrap Bundle,Collect three freshly made wraps made for you by Comida.,0,36,9,2,NULL,2025-10-16,15:00-16:00
153,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,2,16,4,3,NULL,2025-10-16,15:00-16:00
154,offsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,0,16,4,4,NULL,2025-10-16,15:00-16:00
155,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,3,16,4,5,NULL,2025-10-16,15:00-16:00
156,offsale,Dish of the Day Bundle,Collect a serving of the Dish of the Day for only £1,0,2.35,1,6,NULL,2025-10-16,15:00-16:00
157,onsale,Cooked Breakfast Bundle,"Collect various breakfast foods including sausages, hash browns, and bacon.",2,15,5,7,NULL,2025-10-16,18:00-19:00
158,offsale,Brownie Bundle,Collect 4 delicious chocolate brownie slices.,0,16,8,8,NULL,2025-10-16,18:00-19:00
159,onsale,Pasties & Pies,A delicious assortment of freshly-baked pasties and pies.,3,16,8,9,NULL,2025-10-16,18:00-19:00
160,offsale,Sandwiches & Baguettes,A delicious assortment of freshly-made sandwiches and baguettes,0,13,6.5,10,NULL,2025-10-16,18:00-19:00
161,onsale,Meal Deal Bundle,Collect a freshly-made sandwich along with a snack and a soft drink.,2,5,2.5,11,NULL,2025-11-16,15:00-16:00
162,offsale,Hot Food Bundle,Collect a delicious assortment of hot food including pizzas and burgers,0,30,10,12,NULL,2025-11-16,15:00-16:00
163,onsale,Hot Food Bundle,Collect a delicious assortment of hot food including pizzas and burgers,3,30,10,13,NULL,2025-11-16,15:00-16:00
164,offsale,Sandwiches & Baguettes,A delicious assortment of freshly-made sandwiches and baguettes,0,12,6,14,NULL,2025-11-16,15:00-16:00
165,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,2,16,4,15,NULL,2025-11-16,15:00-16:00
166,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,15,7.5,16,NULL,2025-11-16,14:00-15:00
167,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",3,15,7.5,17,NULL,2025-11-16,15:00-16:00
168,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,15,7.5,18,NULL,2025-11-16,15:00-16:00
169,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",2,15,7.5,19,NULL,2025-11-16,15:00-16:00
170,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,15,7.5,20,NULL,2025-11-16,15:00-16:00
171,onsale,Breakfast Bundle,A delicious selection of croissants and pan au chocolats.,3,12,6,21,NULL,2025-11-16,15:00-16:00
172,offsale,Sushi Bundle,A delicious selection of freshly-made sushi.,0,18,9,22,NULL,2025-11-16,15:00-16:00
173,onsale,Lunch Bundle,"Collect a freshly-made sandwich, a panini, and a baguette.",2,9,3,23,NULL,2025-11-16,15:00-16:00
174,offsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,0,12,4,24,NULL,2025-11-16,15:00-16:00
175,onsale,Breakfast Bundle,A delicious selection of croissants and pan au chocolats.,3,12,6,25,NULL,2025-11-16,15:00-16:00
176,offsale,Breakfast Bundle,A delicious selection of croissants and pan au chocolats.,0,12,6,26,NULL,2025-11-16,18:00-19:00
177,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",2,16,4,27,NULL,2025-11-16,18:00-19:00
178,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,18,6,28,NULL,2025-11-16,18:00-19:00
179,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",3,12,4,29,NULL,2025-11-16,18:00-19:00
180,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,12,4,30,NULL,2025-11-16,18:00-19:00
181,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,2,16,4,1,NULL,2025-11-16,15:00-16:00
182,offsale,Wrap Bundle,Collect three freshly made wraps made for you by Comida.,0,36,9,2,NULL,2025-11-16,15:00-16:00
183,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,3,16,4,3,NULL,2025-11-16,15:00-16:00
184,offsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,0,16,4,4,NULL,2025-11-16,15:00-16:00
185,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,2,16,4,5,NULL,2025-11-16,15:00-16:00
186,offsale,Dish of the Day Bundle,Collect a serving of the Dish of the Day for only £1,0,2.35,1,6,NULL,2025-11-16,15:00-16:00
187,onsale,Cooked Breakfast Bundle,"Collect various breakfast foods including sausages, hash browns, and bacon.",3,15,5,7,NULL,2025-11-16,18:00-19:00
188,offsale,Brownie Bundle,Collect 4 delicious chocolate brownie slices.,0,16,8,8,NULL,2025-11-16,18:00-19:00
189,onsale,Pasties & Pies,A delicious assortment of freshly-baked pasties and pies.,2,16,8,9,NULL,2025-11-16,18:00-19:00
190,offsale,Sandwiches & Baguettes,A delicious assortment of freshly-made sandwiches and baguettes,0,13,6.5,10,NULL,2025-11-16,18:00-19:00
191,onsale,Meal Deal Bundle,Collect a freshly-made sandwich along with a snack and a soft drink.,3,5,2.5,11,NULL,2025-12-16,15:00-16:00
192,offsale,Hot Food Bundle,Collect a delicious assortment of hot food including pizzas and burgers,0,30,10,12,NULL,2025-12-16,15:00-16:00
193,onsale,Hot Food Bundle,Collect a delicious assortment of hot food including pizzas and burgers,2,30,10,13,NULL,2025-12-16,15:00-16:00
194,offsale,Sandwiches & Baguettes,A delicious assortment of freshly-made sandwiches and baguettes,0,12,6,14,NULL,2025-12-16,15:00-16:00
195,onsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,3,16,4,15,NULL,2025-12-16,15:00-16:00
196,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,15,7.5,16,NULL,2025-12-16,14:00-15:00
197,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",2,15,7.5,17,NULL,2025-12-16,15:00-16:00
198,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,15,7.5,18,NULL,2025-12-16,15:00-16:00
199,onsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",3,15,7.5,19,NULL,2025-12-16,15:00-16:00
200,offsale,Groceries Bundle,"A delicious selection of fresh fruit, vegetables, bakery produce, and meat.",0,15,7.5,20,NULL,2025-12-16,15:00-16:00
201,onsale,Breakfast Bundle,A delicious selection of croissants and pan au chocolats.,2,12,6,21,NULL,2025-12-16,15:00-16:00
202,offsale,Sushi Bundle,A delicious selection of freshly-made sushi.,0,18,9,22,NULL,2025-12-16,15:00-16:00
203,onsale,Lunch Bundle,"Collect a freshly-made sandwich, a panini, and a baguette.",3,9,3,23,NULL,2025-12-16,15:00-16:00
204,offsale,Cake Bundle,Slices of delicious cake that are too delicious to waste.,0,12,4,24,NULL,2025-12-16,15:00-16:00
205,onsale,Breakfast Bundle,A delicious selection of croissants and pan au chocolats.,2,12,6,25,NULL,2025-12-16,15:00-16:00
206,offsale,Breakfast Bundle,A delicious selection of croissants and pan au chocolats.,0,12,6,26,NULL,2025-12-16,18:00-19:00
