issueID,customerID,reservationID,createdAt,resolvedAt,title,issueDescription,sellerResponse,issueStatus
20,50,20,2025-09-15 10:00,2025-09-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
21,51,21,2025-09-15 10:00,2025-09-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
22,52,22,2025-09-15 10:00,2025-09-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
23,53,23,2025-09-15 10:00,2025-09-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
24,54,24,2025-09-15 10:00,2025-09-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
25,55,25,2025-09-15 10:00,2025-09-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
26,56,26,2025-09-15 10:00,2025-09-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
27,57,27,2025-09-15 10:00,2025-09-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
28,58,28,2025-09-15 10:00,2025-09-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
29,59,29,2025-09-15 10:00,2025-09-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
30,60,30,2025-10-15 10:00,2025-10-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
31,31,31,2025-10-15 10:00,2025-10-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
32,32,32,2025-10-15 10:00,2025-10-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
33,33,33,2025-10-15 10:00,2025-10-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
34,34,34,2025-10-15 10:00,2025-10-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
35,35,35,2025-10-15 10:00,2025-10-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
36,36,36,2025-10-15 10:00,2025-10-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
37,37,37,2025-10-15 10:00,2025-10-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
38,38,38,2025-10-15 10:00,2025-10-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
39,39,39,2025-10-15 10:00,2025-10-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
40,40,40,2025-10-15 10:00,2025-10-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
41,41,41,2025-10-15 10:00,2025-10-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
42,42,42,2025-10-15 10:00,2025-10-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
43,43,43,2025-10-15 10:00,2025-10-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
44,44,44,2025-10-15 10:00,2025-10-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
45,45,45,2025-10-15 10:00,2025-10-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
46,46,46,2025-10-15 10:00,2025-10-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
47,47,47,2025-10-15 10:00,2025-10-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
48,48,48,2025-10-15 10:00,2025-10-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
49,49,49,2025-10-15 10:00,2025-10-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
50,50,50,2025-10-15 10:00,2025-10-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
51,51,51,2025-10-15 10:00,2025-10-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
52,52,52,2025-10-15 10:00,2025-10-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
53,53,53,2025-10-15 10:00,2025-10-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
54,54,54,2025-10-15 10:00,2025-10-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
55,55,55,2025-10-15 10:00,2025-10-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
56,56,56,2025-10-15 10:00,2025-10-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
57,57,57,2025-10-15 10:00,2025-10-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
58,58,58,2025-10-15 10:00,2025-10-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
59,59,59,2025-10-15 10:00,2025-10-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
60,60,60,2025-11-15 10:00,2025-11-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
61,31,61,2025-11-15 10:00,2025-11-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
62,32,62,2025-11-15 10:00,2025-11-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
63,33,63,2025-11-15 10:00,2025-11-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
64,34,64,2025-11-15 10:00,2025-11-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
65,35,65,2025-11-15 10:00,2025-11-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
66,36,66,2025-11-15 10:00,2025-11-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
67,37,67,2025-11-15 10:00,2025-11-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
68,38,68,2025-11-15 10:00,2025-11-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
69,39,69,2025-11-15 10:00,2025-11-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
70,40,70,2025-11-15 10:00,2025-11-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
71,41,71,2025-11-15 10:00,2025-11-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
72,42,72,2025-11-15 10:00,2025-11-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
73,43,73,2025-11-15 10:00,2025-11-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
74,44,74,2025-11-15 10:00,2025-11-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
75,45,75,2025-11-15 10:00,2025-11-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
76,46,76,2025-11-15 10:00,2025-11-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
77,47,77,2025-11-15 10:00,2025-11-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
78,48,78,2025-11-15 10:00,2025-11-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
79,49,79,2025-11-15 10:00,2025-11-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
80,50,80,2025-11-15 10:00,2025-11-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
81,51,81,2025-11-15 10:00,2025-11-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
82,52,82,2025-11-15 10:00,2025-11-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
83,53,83,2025-11-15 10:00,2025-11-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
84,54,84,2025-11-15 10:00,2025-11-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
85,55,85,2025-11-15 10:00,2025-11-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
86,56,86,2025-11-15 10:00,2025-11-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
87,57,87,2025-11-15 10:00,2025-11-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
88,58,88,2025-11-15 10:00,2025-11-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
89,59,89,2025-11-15 10:00,2025-11-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
90,60,90,2025-11-15 10:00,2025-11-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
91,31,91,2025-12-15 10:00,2025-12-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
92,32,92,2025-12-15 10:00,2025-12-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
93,33,93,2025-12-15 10:00,2025-12-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
94,34,94,2025-12-15 10:00,2025-12-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
95,35,95,2025-12-15 10:00,2025-12-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
96,36,96,2025-12-15 10:00,2025-12-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
97,37,97,2025-12-15 10:00,2025-12-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
98,38,98,2025-12-15 10:00,2025-12-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
99,39,99,2025-12-15 10:00,2025-12-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
100,40,100,2025-12-15 10:00,2025-12-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
101,41,101,2025-12-15 10:00,2025-12-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
102,42,102,2025-12-15 10:00,2025-12-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
103,43,103,2025-12-15 10:00,2025-12-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
104,44,104,2025-12-15 10:00,2025-12-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
105,45,105,2025-12-15 10:00,2025-12-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
106,46,106,2025-12-15 10:00,2025-12-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
107,47,107,2025-12-15 10:00,2025-12-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
108,48,108,2025-12-15 10:00,2025-12-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
109,49,109,2025-12-15 10:00,2025-12-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
110,50,110,2025-12-15 10:00,2025-12-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
111,51,111,2025-12-15 10:00,2025-12-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
112,52,112,2025-12-15 10:00,2025-12-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
113,53,113,2025-12-15 10:00,2025-12-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
114,54,114,2025-12-15 10:00,2025-12-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
115,55,115,2025-12-15 10:00,2025-12-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
116,56,116,2025-12-15 10:00,2025-12-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
117,57,117,2025-12-15 10:00,2025-12-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
118,58,118,2025-12-15 10:00,2025-12-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
119,59,119,2025-12-15 10:00,2025-12-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
120,60,120,2025-12-15 10:00,2025-12-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
121,31,121,2026-01-15 10:00,2026-01-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
122,32,122,2026-01-15 10:00,2026-01-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
123,33,123,2026-01-15 10:00,2026-01-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
124,34,124,2026-01-15 10:00,2026-01-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
125,35,125,2026-01-15 10:00,2026-01-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
126,36,126,2026-01-15 10:00,2026-01-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
127,37,127,2026-01-15 10:00,2026-01-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
128,38,128,2026-01-15 10:00,2026-01-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
129,39,129,2026-01-15 10:00,2026-01-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
130,40,130,2026-01-15 10:00,2026-01-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
131,41,131,2026-01-15 10:00,2026-01-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
132,42,132,2026-01-15 10:00,2026-01-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
133,43,133,2026-01-15 10:00,2026-01-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
134,44,134,2026-01-15 10:00,2026-01-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
135,45,135,2026-01-15 10:00,2026-01-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
136,46,136,2026-01-15 10:00,2026-01-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
137,47,137,2026-01-15 10:00,2026-01-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
138,48,138,2026-01-15 10:00,2026-01-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
139,49,139,2026-01-15 10:00,2026-01-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
140,50,140,2026-01-15 10:00,2026-01-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
141,51,141,2026-01-15 10:00,2026-01-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
142,52,142,2026-01-15 10:00,2026-01-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
143,53,143,2026-01-15 10:00,2026-01-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
144,54,144,2026-01-15 10:00,2026-01-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
145,55,145,2026-01-15 10:00,2026-01-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
146,56,146,2026-01-15 10:00,2026-01-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
147,57,147,2026-01-15 10:00,2026-01-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
148,58,148,2026-01-15 10:00,2026-01-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
149,59,149,2026-01-15 10:00,2026-01-15 11:00,How to cancel reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,,ongoing
150,60,150,2026-01-15 10:00,2026-01-15 11:00,How can I cancel my reservation?,I am no longer able to collect my bundle. Could you please cancel my reservation?,"Your reservation has been cancelled, and you will be refunded shortly.",resolved
